date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video
2014-07-9,NYY @ CLE,T10,Girardi,B. Roberts,Out at 1st,Force play,Knight,Culbreth,Overturned,2:26,http://atmlb.com/1nmLwqu
2014-07-10,CHI @ CIN,T12,UMPIRE,Valbuena,7.13/Out at home,7.13,Wegner,Winters,Confirmed,2:27,http://t.co/vmnRYBq1GZ
2014-07-10,PHI @ MIL,T8,Sandberg,R. Howard,Ground-Rule Double,Boundary call,Kellogg,Kellogg,Confirmed,1:05,http://t.co/tupkgBvzn1
2014-07-10,PHI @ MIL,T8,Roenicke,C. Hernandez,Safe at 1st,Force play,O'Nora,Kellogg,Overturned,0:55,http://t.co/Xt9MvNlDGE
2014-07-10,OAK @ SF,B6,Bochy,Pence,Out at 1st,Force play,Nauert,Hernandez,Overturned,2:12,http://t.co/AIPGcYLXcr
2014-07-10,CWS @ BOS,T9,Ventura,Al. Ramirez,Out at 1st,Force play,Blaser,Joyce,Overturned,1:57,http://t.co/gOjSJlbkyj
2014-07-10,OAK @ SF,B9,Melvin,Blanco,Safe at 1st,Force play,Nauert,Hernandez,Overturned,3:06,http://t.co/M930wmcGM7
2014-07-10,WSH @ BAL,T4,Williams,LaRoche,Ball (not HBP),HBP,Bucknor,Cederstrom,Overturned,0:58,http://t.co/oACV9yTxN2
2014-07-10,ATL @ NYM,T8,Collins,Heyward,Safe at 1st,Force play,Tichenor,Everitt,Overturned,1:19,http://t.co/wd9ydvKgSO
2014-07-10,NYY @ CLE,B8,UMPIRE,R. Perez,In play,Potential HR,Woodring,Culbreth,Overturned,2:25,http://t.co/Juj2rmpdBS
2014-07-10,MIN @ SEA,B1,Gardenhire,J. Jones,Safe at 1st,Tag play,Barksdale,Scott,Overturned,0:47,http://t.co/O671YmXm66
2014-07-10,MIN @ SEA,B7,Gardenhire,J. Jones,Safe at 3rd,Tag play,Danley,Scott,Overturned,3:00,http://t.co/fElxzz0nxe
2014-07-11,CWS @ CLE,B5,Francona,A. Cabrera,Out at 2nd,Tag play,Iassogna,Cederstrom,Overturned,1:32,http://t.co/F3FHrPujDg
2014-07-11,DET @ KC,B4,Yost,S. Perez,Out at 1st,Tag play,Carapazza,Miller,Stands,1:51,http://t.co/pqcQlOdV8b
2014-07-11,TOR @ TB,T8,Maddon,Mastroianni,Safe at 1st,Force play,Everitt,Everitt,Stands,3:45,http://t.co/OWne7qxgUo
2014-07-12,MIN @ COL,B3,UMPIRE,Blackmon,7.13/Out at home,7.13,Hernandez,Hernandez,Confirmed,2:08,http://t.co/AWOGYfVoeC
2014-07-12,CWS @ CLE,B7,Francona,Viciedo,Catch,Catch/no catch,Nauert,Cederstrom,Overturned,1:58,http://t.co/hZjT15UExt
